ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1163,Last Substring in Lexicographical Order,33.90%,Hard,0.726191975, https://leetcode.com/problems/last-substring-in-lexicographical-order
64,Minimum Path Sum,54.50%,Medium,0.673126336, https://leetcode.com/problems/minimum-path-sum
146,LRU Cache,33.20%,Medium,0.6099535, https://leetcode.com/problems/lru-cache
153,Find Minimum in Rotated Sorted Array,45.10%,Medium,0.552467602, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
524,Longest Word in Dictionary through Deleting,48.40%,Medium,0.538068082, https://leetcode.com/problems/longest-word-in-dictionary-through-deleting
91,Decode Ways,24.70%,Medium,0.506806784, https://leetcode.com/problems/decode-ways
532,K-diff Pairs in an Array,31.60%,Easy,0.452414862, https://leetcode.com/problems/k-diff-pairs-in-an-array
33,Search in Rotated Sorted Array,34.50%,Medium,0.436155066, https://leetcode.com/problems/search-in-rotated-sorted-array
322,Coin Change,35.50%,Medium,0.427891601, https://leetcode.com/problems/coin-change
887,Super Egg Drop,27.10%,Hard,0.376148588, https://leetcode.com/problems/super-egg-drop
53,Maximum Subarray,46.50%,Easy,0.354318335, https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,34.10%,Medium,0.353062738, https://leetcode.com/problems/spiral-matrix
1010,Pairs of Songs With Total Durations Divisible by 60,47.40%,Easy,0.325125902, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
942,DI String Match,72.60%,Easy,0.303565119, https://leetcode.com/problems/di-string-match
215,Kth Largest Element in an Array,55.40%,Medium,0.30223837, https://leetcode.com/problems/kth-largest-element-in-an-array
200,Number of Islands,46.80%,Medium,0.276916766, https://leetcode.com/problems/number-of-islands
218,The Skyline Problem,34.60%,Hard,0.274694877, https://leetcode.com/problems/the-skyline-problem
141,Linked List Cycle,41.10%,Easy,0.274492842, https://leetcode.com/problems/linked-list-cycle
122,Best Time to Buy and Sell Stock II,57.00%,Easy,0.264868364, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
119,Pascal's Triangle II,49.00%,Easy,0.261696746, https://leetcode.com/problems/pascals-triangle-ii
44,Wildcard Matching,24.70%,Hard,0.246396449, https://leetcode.com/problems/wildcard-matching
240,Search a 2D Matrix II,43.20%,Medium,0.242180975, https://leetcode.com/problems/search-a-2d-matrix-ii
326,Power of Three,42.10%,Easy,0.233013341, https://leetcode.com/problems/power-of-three
992,Subarrays with K Different Integers,48.60%,Hard,0.211578345, https://leetcode.com/problems/subarrays-with-k-different-integers
560,Subarray Sum Equals K,43.90%,Medium,0.190738201, https://leetcode.com/problems/subarray-sum-equals-k
206,Reverse Linked List,62.50%,Easy,0.173744124, https://leetcode.com/problems/reverse-linked-list
344,Reverse String,68.50%,Easy,0.169079969, https://leetcode.com/problems/reverse-string
3,Longest Substring Without Repeating Characters,30.40%,Medium,0.158406253, https://leetcode.com/problems/longest-substring-without-repeating-characters
155,Min Stack,44.50%,Easy,0.158171758, https://leetcode.com/problems/min-stack
332,Reconstruct Itinerary,36.70%,Medium,0.156719597, https://leetcode.com/problems/reconstruct-itinerary
931,Minimum Falling Path Sum,62.50%,Medium,0.156372796, https://leetcode.com/problems/minimum-falling-path-sum
242,Valid Anagram,56.90%,Easy,0.139639767, https://leetcode.com/problems/valid-anagram
56,Merge Intervals,39.30%,Medium,0.137134218, https://leetcode.com/problems/merge-intervals
62,Unique Paths,54.10%,Medium,0.131125769, https://leetcode.com/problems/unique-paths
460,LFU Cache,34.20%,Hard,0.118481604, https://leetcode.com/problems/lfu-cache
72,Edit Distance,44.80%,Hard,0.116299709, https://leetcode.com/problems/edit-distance
295,Find Median from Data Stream,44.30%,Hard,0.105021475, https://leetcode.com/problems/find-median-from-data-stream
46,Permutations,63.50%,Medium,0.100415384, https://leetcode.com/problems/permutations
1051,Height Checker,71.10%,Easy,0.098764415, https://leetcode.com/problems/height-checker
1395,Count Number of Teams,82.00%,Medium,0.098178111, https://leetcode.com/problems/count-number-of-teams
76,Minimum Window Substring,34.60%,Hard,0.095324386, https://leetcode.com/problems/minimum-window-substring
720,Longest Word in Dictionary,48.20%,Easy,0.09362342, https://leetcode.com/problems/longest-word-in-dictionary
836,Rectangle Overlap,48.60%,Easy,0.093580799, https://leetcode.com/problems/rectangle-overlap
647,Palindromic Substrings,60.60%,Medium,0.089925753, https://leetcode.com/problems/palindromic-substrings
78,Subsets,62.00%,Medium,0.088342039, https://leetcode.com/problems/subsets
939,Minimum Area Rectangle,51.80%,Medium,0.08361414, https://leetcode.com/problems/minimum-area-rectangle
724,Find Pivot Index,44.00%,Easy,0.083576848, https://leetcode.com/problems/find-pivot-index
118,Pascal's Triangle,52.50%,Easy,0.079704012, https://leetcode.com/problems/pascals-triangle
547,Friend Circles,58.60%,Medium,0.074086001, https://leetcode.com/problems/friend-circles
13,Roman to Integer,55.70%,Easy,0.067239661, https://leetcode.com/problems/roman-to-integer
588,Design In-Memory File System,45.90%,Hard,0.058410762, https://leetcode.com/problems/design-in-memory-file-system
104,Maximum Depth of Binary Tree,66.00%,Easy,0.054992474, https://leetcode.com/problems/maximum-depth-of-binary-tree
15,3Sum,26.80%,Medium,0.053574675, https://leetcode.com/problems/3sum
120,Triangle,44.20%,Medium,0.051926006, https://leetcode.com/problems/triangle
99,Recover Binary Search Tree,39.70%,Hard,0.051264071, https://leetcode.com/problems/recover-binary-search-tree
445,Add Two Numbers II,54.50%,Medium,0.048435617, https://leetcode.com/problems/add-two-numbers-ii
19,Remove Nth Node From End of List,35.20%,Medium,0.04812235, https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,39.00%,Easy,0.045585205, https://leetcode.com/problems/valid-parentheses
283,Move Zeroes,57.80%,Easy,0.045195858, https://leetcode.com/problems/move-zeroes
204,Count Primes,31.50%,Easy,0.043402056, https://leetcode.com/problems/count-primes
1219,Path with Maximum Gold,65.10%,Medium,0.04111576, https://leetcode.com/problems/path-with-maximum-gold
993,Cousins in Binary Tree,52.00%,Easy,0.038764543, https://leetcode.com/problems/cousins-in-binary-tree
380,Insert Delete GetRandom O(1),47.50%,Medium,0.038717635, https://leetcode.com/problems/insert-delete-getrandom-o1
317,Shortest Distance from All Buildings,41.40%,Hard,0.03795522, https://leetcode.com/problems/shortest-distance-from-all-buildings
50,Pow(x;n),30.30%,Medium,0.034465968, https://leetcode.com/problems/powx-n
167,Two Sum II - Input array is sorted,54.10%,Easy,0.033933766, https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
198,House Robber,42.00%,Easy,0.033320991, https://leetcode.com/problems/house-robber
237,Delete Node in a Linked List,63.80%,Easy,0.03172855, https://leetcode.com/problems/delete-node-in-a-linked-list
16,3Sum Closest,46.00%,Medium,0.02976964, https://leetcode.com/problems/3sum-closest
98,Validate Binary Search Tree,27.80%,Medium,0.026187123, https://leetcode.com/problems/validate-binary-search-tree
23,Merge k Sorted Lists,40.20%,Hard,0.025056432, https://leetcode.com/problems/merge-k-sorted-lists
1209,Remove All Adjacent Duplicates in String II,56.90%,Medium,0.023243347, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
39,Combination Sum,56.10%,Medium,0.022670282, https://leetcode.com/problems/combination-sum
739,Daily Temperatures,63.30%,Medium,0.022433643, https://leetcode.com/problems/daily-temperatures
207,Course Schedule,43.10%,Medium,0.019709926, https://leetcode.com/problems/course-schedule
88,Merge Sorted Array,39.40%,Easy,0.01866701, https://leetcode.com/problems/merge-sorted-array
438,Find All Anagrams in a String,43.30%,Medium,0.018193346, https://leetcode.com/problems/find-all-anagrams-in-a-string
253,Meeting Rooms II,45.70%,Medium,0.01808731, https://leetcode.com/problems/meeting-rooms-ii
17,Letter Combinations of a Phone Number,46.80%,Medium,0.01749252, https://leetcode.com/problems/letter-combinations-of-a-phone-number
876,Middle of the Linked List,68.40%,Easy,0.017074974, https://leetcode.com/problems/middle-of-the-linked-list
628,Maximum Product of Three Numbers,47.10%,Easy,0.016529302, https://leetcode.com/problems/maximum-product-of-three-numbers
189,Rotate Array,34.70%,Easy,0.016022774, https://leetcode.com/problems/rotate-array
160,Intersection of Two Linked Lists,40.60%,Easy,0.010994491, https://leetcode.com/problems/intersection-of-two-linked-lists
63,Unique Paths II,34.60%,Medium,0.008712754, https://leetcode.com/problems/unique-paths-ii
347,Top K Frequent Elements,61.20%,Medium,0.005929457, https://leetcode.com/problems/top-k-frequent-elements
973,K Closest Points to Origin,63.80%,Medium,0.005773688, https://leetcode.com/problems/k-closest-points-to-origin
1109,Corporate Flight Bookings,52.80%,Medium,0, https://leetcode.com/problems/corporate-flight-bookings
1116,Print Zero Even Odd,56.00%,Medium,0, https://leetcode.com/problems/print-zero-even-odd
1427,Perform String Shifts,53.10%,Easy,0, https://leetcode.com/problems/perform-string-shifts
